name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
chan001	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan002	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan003	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan004	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan005	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan006	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan007	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan008	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan009	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
chan010	unknown	unknown	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
